dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1818-07-01,27.287,2.733,Ahmadabad,India,23.31N,72.52E
1818-08-01,26.211,1.666,Ahmadabad,India,23.31N,72.52E
1818-09-01,26.292,1.818,Ahmadabad,India,23.31N,72.52E
1818-10-01,25.113,2.11,Ahmadabad,India,23.31N,72.52E
1818-11-01,23.317,4.188,Ahmadabad,India,23.31N,72.52E
1818-12-01,19.49,1.737,Ahmadabad,India,23.31N,72.52E
1819-01-01,17.305,2.314,Ahmadabad,India,23.31N,72.52E
1819-02-01,20.274,2.868,Ahmadabad,India,23.31N,72.52E
1819-03-01,24.308,5.26,Ahmadabad,India,23.31N,72.52E
1819-04-01,29.16,1.661,Ahmadabad,India,23.31N,72.52E
1819-05-01,31.799,1.401,Ahmadabad,India,23.31N,72.52E
1819-06-01,31.004,1.72,Ahmadabad,India,23.31N,72.52E
1819-07-01,27.618,1.414,Ahmadabad,India,23.31N,72.52E
1819-08-01,26.406,1.571,Ahmadabad,India,23.31N,72.52E
1819-09-01,26.76,1.229,Ahmadabad,India,23.31N,72.52E
1819-10-01,26.759,1.769,Ahmadabad,India,23.31N,72.52E
1819-11-01,23.704,1.716,Ahmadabad,India,23.31N,72.52E
1819-12-01,19.214,1.625,Ahmadabad,India,23.31N,72.52E
1820-01-01,17.422,4.273,Ahmadabad,India,23.31N,72.52E
1820-02-01,20.31,1.945,Ahmadabad,India,23.31N,72.52E
1820-03-01,25.332,2.008,Ahmadabad,India,23.31N,72.52E
1820-04-01,30.928,1.487,Ahmadabad,India,23.31N,72.52E
1820-05-01,32.474,1.486,Ahmadabad,India,23.31N,72.52E
1820-06-01,31.139,1.441,Ahmadabad,India,23.31N,72.52E
1820-07-01,27.727,2.42,Ahmadabad,India,23.31N,72.52E
1820-08-01,25.89,2.124,Ahmadabad,India,23.31N,72.52E
1820-09-01,26.943,1.739,Ahmadabad,India,23.31N,72.52E
1820-10-01,25.919,1.519,Ahmadabad,India,23.31N,72.52E
1820-11-01,23.118,1.594,Ahmadabad,India,23.31N,72.52E
1820-12-01,19.063,1.97,Ahmadabad,India,23.31N,72.52E
1821-01-01,19.983,2.713,Ahmadabad,India,23.31N,72.52E
1821-02-01,22.36,3.383,Ahmadabad,India,23.31N,72.52E
1821-03-01,26.519,1.958,Ahmadabad,India,23.31N,72.52E
1821-04-01,29.565,1.607,Ahmadabad,India,23.31N,72.52E
1821-05-01,32.846,1.679,Ahmadabad,India,23.31N,72.52E
1821-06-01,31.087,2.374,Ahmadabad,India,23.31N,72.52E
1821-07-01,27.761,1.824,Ahmadabad,India,23.31N,72.52E
1821-08-01,26.906,1.579,Ahmadabad,India,23.31N,72.52E
1821-09-01,26.123,1.414,Ahmadabad,India,23.31N,72.52E
1821-10-01,26.369,1.42,Ahmadabad,India,23.31N,72.52E
1821-11-01,24.157,2.319,Ahmadabad,India,23.31N,72.52E
1821-12-01,20.089,1.645,Ahmadabad,India,23.31N,72.52E
1822-01-01,19.905,2.72,Ahmadabad,India,23.31N,72.52E
1822-02-01,23.061,2.185,Ahmadabad,India,23.31N,72.52E
1822-03-01,28.304,1.897,Ahmadabad,India,23.31N,72.52E
1822-04-01,30.29,1.593,Ahmadabad,India,23.31N,72.52E
1822-05-01,32.53,1.455,Ahmadabad,India,23.31N,72.52E
1822-06-01,31.202,1.534,Ahmadabad,India,23.31N,72.52E
1822-07-01,28.49,1.39,Ahmadabad,India,23.31N,72.52E
1822-08-01,26.482,2.07,Ahmadabad,India,23.31N,72.52E
1822-09-01,26.484,1.704,Ahmadabad,India,23.31N,72.52E
1822-10-01,25.732,1.456,Ahmadabad,India,23.31N,72.52E
1822-11-01,23.003,1.788,Ahmadabad,India,23.31N,72.52E
1822-12-01,18.942,2.195,Ahmadabad,India,23.31N,72.52E
1823-01-01,19.266,1.786,Ahmadabad,India,23.31N,72.52E
1823-02-01,21.411,2.44,Ahmadabad,India,23.31N,72.52E
1823-03-01,26.131,1.856,Ahmadabad,India,23.31N,72.52E
1823-04-01,30.463,2.324,Ahmadabad,India,23.31N,72.52E
1823-05-01,32.517,1.5,Ahmadabad,India,23.31N,72.52E
1823-06-01,32.17,2.065,Ahmadabad,India,23.31N,72.52E
1823-07-01,28.631,1.497,Ahmadabad,India,23.31N,72.52E
1823-08-01,26.567,1.463,Ahmadabad,India,23.31N,72.52E
1823-09-01,25.907,1.396,Ahmadabad,India,23.31N,72.52E
1823-10-01,26.098,1.76,Ahmadabad,India,23.31N,72.52E
1823-11-01,23.042,2.892,Ahmadabad,India,23.31N,72.52E
1823-12-01,20.182,1.796,Ahmadabad,India,23.31N,72.52E
1824-01-01,19.839,1.67,Ahmadabad,India,23.31N,72.52E
1824-02-01,21.688,2.509,Ahmadabad,India,23.31N,72.52E
1824-03-01,26.406,1.913,Ahmadabad,India,23.31N,72.52E
1824-04-01,30.559,2.198,Ahmadabad,India,23.31N,72.52E
1824-05-01,32.728,1.612,Ahmadabad,India,23.31N,72.52E
1824-06-01,32.005,2.523,Ahmadabad,India,23.31N,72.52E
1824-07-01,29.722,2.952,Ahmadabad,India,23.31N,72.52E
1824-08-01,27.184,1.717,Ahmadabad,India,23.31N,72.52E
1824-09-01,27.702,1.7,Ahmadabad,India,23.31N,72.52E
1824-10-01,26.013,1.744,Ahmadabad,India,23.31N,72.52E
1824-11-01,24.259,1.916,Ahmadabad,India,23.31N,72.52E
1824-12-01,22.008,2.568,Ahmadabad,India,23.31N,72.52E
1825-01-01,20.035,2.463,Ahmadabad,India,23.31N,72.52E
1825-02-01,21.963,1.883,Ahmadabad,India,23.31N,72.52E
1825-03-01,26.329,2.28,Ahmadabad,India,23.31N,72.52E
1825-04-01,31.077,2.34,Ahmadabad,India,23.31N,72.52E
1825-05-01,32.648,1.434,Ahmadabad,India,23.31N,72.52E
1825-06-01,31.963,1.4,Ahmadabad,India,23.31N,72.52E
1825-07-01,28.61,2.214,Ahmadabad,India,23.31N,72.52E
1825-08-01,26.655,2.007,Ahmadabad,India,23.31N,72.52E
1825-09-01,26.895,1.712,Ahmadabad,India,23.31N,72.52E
1825-10-01,26.305,1.901,Ahmadabad,India,23.31N,72.52E
1825-11-01,24.731,1.972,Ahmadabad,India,23.31N,72.52E
1825-12-01,20.257,1.554,Ahmadabad,India,23.31N,72.52E
1826-01-01,19.527,1.676,Ahmadabad,India,23.31N,72.52E
1826-02-01,20.66,2.112,Ahmadabad,India,23.31N,72.52E
1826-03-01,26.385,1.925,Ahmadabad,India,23.31N,72.52E
1826-04-01,30.83,2.494,Ahmadabad,India,23.31N,72.52E
1826-05-01,33.634,1.557,Ahmadabad,India,23.31N,72.52E
1826-06-01,31.144,2.222,Ahmadabad,India,23.31N,72.52E
1826-07-01,28.935,1.544,Ahmadabad,India,23.31N,72.52E
1826-08-01,26.469,1.444,Ahmadabad,India,23.31N,72.52E
1826-09-01,26.937,1.942,Ahmadabad,India,23.31N,72.52E
1826-10-01,26.743,2.223,Ahmadabad,India,23.31N,72.52E
1826-11-01,24.803,1.59,Ahmadabad,India,23.31N,72.52E
1826-12-01,21.827,2.313,Ahmadabad,India,23.31N,72.52E
1827-01-01,20.546,2.594,Ahmadabad,India,23.31N,72.52E
1827-02-01,22.308,1.745,Ahmadabad,India,23.31N,72.52E
1827-03-01,26.91,2.231,Ahmadabad,India,23.31N,72.52E
1827-04-01,31.323,2.876,Ahmadabad,India,23.31N,72.52E
1827-05-01,32.891,2.259,Ahmadabad,India,23.31N,72.52E
1827-06-01,31.74,2.057,Ahmadabad,India,23.31N,72.52E
1827-07-01,29.09,1.6,Ahmadabad,India,23.31N,72.52E
1827-08-01,27.071,1.473,Ahmadabad,India,23.31N,72.52E
1827-09-01,26.662,1.356,Ahmadabad,India,23.31N,72.52E
1827-10-01,26.476,1.579,Ahmadabad,India,23.31N,72.52E
1827-11-01,24.716,1.63,Ahmadabad,India,23.31N,72.52E
1827-12-01,20.099,3.027,Ahmadabad,India,23.31N,72.52E
1828-01-01,18.478,2.687,Ahmadabad,India,23.31N,72.52E
1828-02-01,21.087,2.285,Ahmadabad,India,23.31N,72.52E
1828-03-01,26.44,2.282,Ahmadabad,India,23.31N,72.52E
1828-04-01,30.378,2.139,Ahmadabad,India,23.31N,72.52E
1828-05-01,32.778,2.236,Ahmadabad,India,23.31N,72.52E
1828-06-01,32.429,2.147,Ahmadabad,India,23.31N,72.52E
1828-07-01,28.98,1.663,Ahmadabad,India,23.31N,72.52E
1828-08-01,27.035,1.743,Ahmadabad,India,23.31N,72.52E
1828-09-01,25.869,1.356,Ahmadabad,India,23.31N,72.52E
1828-10-01,26.636,1.753,Ahmadabad,India,23.31N,72.52E
1828-11-01,24.516,1.838,Ahmadabad,India,23.31N,72.52E
1828-12-01,20.545,2.272,Ahmadabad,India,23.31N,72.52E
1829-01-01,19.36,1.847,Ahmadabad,India,23.31N,72.52E
1829-02-01,20.611,2.607,Ahmadabad,India,23.31N,72.52E
1829-03-01,26.03,1.904,Ahmadabad,India,23.31N,72.52E
1829-04-01,30.044,1.703,Ahmadabad,India,23.31N,72.52E
1829-05-01,32.989,2.84,Ahmadabad,India,23.31N,72.52E
1829-06-01,31.449,2.098,Ahmadabad,India,23.31N,72.52E
1829-07-01,28.591,1.699,Ahmadabad,India,23.31N,72.52E
1829-08-01,26.887,1.576,Ahmadabad,India,23.31N,72.52E
1829-09-01,26.543,1.644,Ahmadabad,India,23.31N,72.52E
1829-10-01,26.935,1.988,Ahmadabad,India,23.31N,72.52E
1829-11-01,23.494,2.581,Ahmadabad,India,23.31N,72.52E
1829-12-01,20.011,3.547,Ahmadabad,India,23.31N,72.52E
1830-01-01,19.648,2.529,Ahmadabad,India,23.31N,72.52E
